May 26, 2017 5:26:05 PM edu.jhu.order.deephealth.DHClient SubmitReport
INFO: Submitting report from peer@1 about peer@1 at 1495819565302
May 26, 2017 5:26:05 PM edu.jhu.order.deephealth.DHClient SubmitReport
INFO: Result: ACCEPTED
2017-05-26 17:26:07,609 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /127.0.0.1:42420
2017-05-26 17:26:07,613 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing srvr command from /127.0.0.1:42420
2017-05-26 17:26:07,616 [myid:1] - INFO  [Thread-2:NIOServerCnxn@1007] - Closed socket connection for client /127.0.0.1:42420 (no session established for client)
2017-05-26 17:26:08,787 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:54822
2017-05-26 17:26:08,787 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:54822
2017-05-26 17:26:08,788 [myid:1] - INFO  [Thread-3:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:54822 (no session established for client)
2017-05-26 17:26:13,775 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:54842
2017-05-26 17:26:13,775 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:54842
2017-05-26 17:26:13,776 [myid:1] - INFO  [Thread-4:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:54842 (no session established for client)
2017-05-26 17:26:18,761 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:54862
2017-05-26 17:26:18,761 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:54862
2017-05-26 17:26:18,762 [myid:1] - INFO  [Thread-5:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:54862 (no session established for client)
2017-05-26 17:26:23,766 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:54892
2017-05-26 17:26:23,767 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:54892
2017-05-26 17:26:23,768 [myid:1] - INFO  [Thread-6:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:54892 (no session established for client)
2017-05-26 17:26:28,750 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:54912
2017-05-26 17:26:28,751 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:54912
2017-05-26 17:26:28,752 [myid:1] - INFO  [Thread-7:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:54912 (no session established for client)
2017-05-26 17:26:33,732 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:54934
2017-05-26 17:26:33,733 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:54934
2017-05-26 17:26:33,734 [myid:1] - INFO  [Thread-8:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:54934 (no session established for client)
2017-05-26 17:26:38,719 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:54954
2017-05-26 17:26:38,719 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:54954
2017-05-26 17:26:38,720 [myid:1] - INFO  [Thread-9:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:54954 (no session established for client)
2017-05-26 17:26:43,705 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:54974
2017-05-26 17:26:43,706 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:54974
2017-05-26 17:26:43,707 [myid:1] - INFO  [Thread-10:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:54974 (no session established for client)
2017-05-26 17:26:48,689 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55004
2017-05-26 17:26:48,689 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55004
2017-05-26 17:26:48,690 [myid:1] - INFO  [Thread-11:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:55004 (no session established for client)
2017-05-26 17:26:53,677 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55024
2017-05-26 17:26:53,678 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55024
2017-05-26 17:26:53,679 [myid:1] - INFO  [Thread-12:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:55024 (no session established for client)
2017-05-26 17:26:58,663 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55048
2017-05-26 17:26:58,664 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55048
2017-05-26 17:26:58,665 [myid:1] - INFO  [Thread-13:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:55048 (no session established for client)
2017-05-26 17:27:03,645 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55088
2017-05-26 17:27:03,645 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55088
2017-05-26 17:27:03,646 [myid:1] - INFO  [Thread-14:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:55088 (no session established for client)
2017-05-26 17:27:08,625 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55110
2017-05-26 17:27:08,626 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55110
2017-05-26 17:27:08,626 [myid:1] - INFO  [Thread-15:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:55110 (no session established for client)
2017-05-26 17:27:13,605 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55140
2017-05-26 17:27:13,606 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55140
2017-05-26 17:27:13,607 [myid:1] - INFO  [Thread-16:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:55140 (no session established for client)
